date,ad_format,placement,audience,impressions,clicks,conversions,cost,ctr,cpc,cpa
2024-01-01,信息流,底部,18-24岁,1104,21,0,44.62,0.0192,2.12,0
2024-01-01,信息流,底部,25-34岁,1145,24,0,61.11,0.0214,2.55,0
2024-01-01,视频,首页,25-34岁,644,21,0,58.5,0.034,2.79,0
2024-01-01,横幅,首页,18-24岁,717,13,0,31.53,0.0188,2.43,0
2024-01-01,横幅,侧边栏,25-34岁,496,6,0,14.74,0.0126,2.46,0
2024-01-01,视频,首页,45-54岁,910,33,0,98.25,0.037,2.98,0
2024-01-01,信息流,侧边栏,45-54岁,1232,26,0,53.72,0.0217,2.07,0
2024-01-01,横幅,首页,35-44岁,605,10,0,23.27,0.0173,2.33,0
2024-01-01,视频,首页,35-44岁,902,29,0,82.23,0.0331,2.84,0
2024-01-01,横幅,信息流,45-54岁,665,10,0,26.34,0.0158,2.63,0
2024-01-01,信息流,侧边栏,35-44岁,1206,24,0,49.36,0.0203,2.06,0
2024-01-01,图片,侧边栏,25-34岁,879,15,0,44.06,0.0176,2.94,0
2024-01-01,图片,首页,18-24岁,964,23,0,54.08,0.0241,2.35,0
2024-01-01,视频,底部,35-44岁,892,20,0,46.48,0.0231,2.32,0
2024-01-01,图片,底部,35-44岁,958,15,0,42.48,0.0162,2.83,0
2024-01-01,图片,底部,18-24岁,1195,18,0,37.27,0.0158,2.07,0
2024-01-01,原生,底部,45-54岁,929,16,0,33.75,0.0176,2.11,0
2024-01-01,横幅,首页,35-44岁,528,10,0,27.32,0.0196,2.73,0
2024-01-01,横幅,底部,25-34岁,681,8,0,23.34,0.0118,2.92,0
2024-01-01,信息流,侧边栏,18-24岁,1065,25,0,70.76,0.0242,2.83,0
2024-01-01,原生,首页,18-24岁,795,22,0,55.44,0.0279,2.52,0
2024-01-01,信息流,首页,18-24岁,1131,34,0,82.97,0.0303,2.44,0
2024-01-01,图片,侧边栏,45-54岁,1170,20,0,44.44,0.0178,2.22,0
2024-01-01,横幅,信息流,55岁以上,592,8,0,18.26,0.015,2.28,0
2024-01-02,横幅,底部,25-34岁,597,6,0,13.68,0.0117,2.28,0
2024-01-02,信息流,信息流,18-24岁,1230,30,0,79.35,0.0248,2.65,0
2024-01-02,原生,侧边栏,45-54岁,894,18,0,40.79,0.0208,2.27,0
2024-01-02,横幅,信息流,35-44岁,670,10,0,28.98,0.0163,2.9,0
2024-01-02,原生,首页,55岁以上,820,22,0,52.11,0.0275,2.37,0
2024-01-02,原生,开屏,35-44岁,1049,28,0,79.07,0.027,2.82,0
2024-01-02,原生,侧边栏,45-54岁,859,18,0,44.99,0.021,2.5,0
2024-01-02,视频,侧边栏,18-24岁,931,24,0,54.99,0.0264,2.29,0
2024-01-02,视频,开屏,25-34岁,935,39,0,114.77,0.042,2.94,0
2024-01-02,横幅,首页,55岁以上,500,9,0,23.77,0.0194,2.64,0
2024-01-02,信息流,开屏,18-24岁,1144,34,0,85.99,0.0302,2.53,0
2024-01-02,原生,首页,45-54岁,751,18,0,50.16,0.0245,2.79,0
2024-01-02,原生,底部,55岁以上,1071,17,0,45.46,0.0159,2.67,0
2024-01-02,视频,开屏,55岁以上,915,36,0,91.89,0.0404,2.55,0
2024-01-02,横幅,底部,18-24岁,658,8,0,18.76,0.0122,2.34,0
2024-01-02,图片,首页,35-44岁,1021,23,0,62.57,0.0234,2.72,0
2024-01-02,信息流,侧边栏,55岁以上,1180,27,0,65.79,0.0234,2.44,0
2024-01-02,视频,底部,45-54岁,795,20,0,58.11,0.0264,2.91,0
2024-01-02,信息流,侧边栏,25-34岁,1358,32,0,66.71,0.024,2.08,0
2024-01-02,原生,开屏,55岁以上,892,26,0,67.41,0.0297,2.59,0
2024-01-02,信息流,信息流,18-24岁,1165,35,0,71.98,0.0302,2.06,0
2024-01-02,横幅,开屏,45-54岁,622,12,0,29.68,0.0203,2.47,0
2024-01-02,横幅,信息流,18-24岁,662,11,0,23.68,0.0179,2.15,0
2024-01-02,视频,开屏,55岁以上,858,35,0,76.21,0.0415,2.18,0
2024-01-02,视频,信息流,35-44岁,699,23,0,50.46,0.034,2.19,0
2024-01-02,图片,首页,55岁以上,918,22,0,47.12,0.0241,2.14,0
2024-01-02,原生,信息流,45-54岁,931,24,0,51.64,0.0259,2.15,0
2024-01-02,信息流,侧边栏,55岁以上,1061,24,0,61.17,0.0227,2.55,0
2024-01-02,原生,首页,55岁以上,928,25,0,50.92,0.0278,2.04,0
2024-01-02,原生,信息流,18-24岁,839,20,0,46.82,0.0248,2.34,0
2024-01-02,横幅,侧边栏,55岁以上,532,7,0,19.95,0.0142,2.85,0
2024-01-02,视频,底部,55岁以上,902,22,0,65.1,0.0245,2.96,0
2024-01-02,信息流,侧边栏,55岁以上,1251,26,0,68.8,0.0211,2.65,0
2024-01-02,视频,底部,25-34岁,813,17,0,46.86,0.0219,2.76,0
2024-01-03,视频,首页,35-44岁,938,33,0,83.92,0.0361,2.54,0
2024-01-03,原生,底部,45-54岁,1029,19,0,40.29,0.0186,2.12,0
2024-01-03,视频,侧边栏,25-34岁,820,20,0,53.9,0.025,2.7,0
2024-01-03,原生,信息流,35-44岁,1061,28,0,78.32,0.0266,2.8,0
2024-01-03,视频,信息流,35-44岁,879,31,0,89.19,0.0358,2.88,0
2024-01-03,原生,侧边栏,18-24岁,779,16,0,38.49,0.0215,2.41,0
2024-01-03,信息流,首页,45-54岁,1274,35,0,79.45,0.0278,2.27,0
2024-01-03,横幅,底部,55岁以上,629,7,0,14.76,0.0122,2.11,0
2024-01-03,图片,底部,18-24岁,1081,17,0,48.19,0.0161,2.83,0
2024-01-03,视频,侧边栏,35-44岁,922,25,0,51.67,0.0272,2.07,0
2024-01-03,图片,开屏,55岁以上,957,25,0,55.25,0.0262,2.21,0
2024-01-03,信息流,信息流,18-24岁,1145,31,0,90.25,0.0277,2.91,0
2024-01-03,视频,开屏,55岁以上,746,26,0,54.59,0.0359,2.1,0
2024-01-03,原生,底部,18-24岁,1047,19,0,53.73,0.0185,2.83,0
2024-01-03,信息流,底部,45-54岁,1184,25,0,63.71,0.0215,2.55,0
2024-01-03,原生,底部,45-54岁,963,17,0,49.82,0.0181,2.93,0
2024-01-03,原生,底部,25-34岁,743,12,0,31.44,0.0162,2.62,0
2024-01-03,信息流,首页,25-34岁,1085,32,0,72.14,0.0297,2.25,0
2024-01-03,原生,侧边栏,25-34岁,973,20,0,50.93,0.0215,2.55,0
